"FileName","ChangeFreq"
"fontbox.src.main.java.org.apache.fontbox.cmap.CMap_java","24"
"pdfbox.src.test.java.org.apache.pdfbox.util.TestImageIOUtils_java","24"
"lucene.pom_xml","24"
"pdfbox.src.test.java.org.apache.pdfbox.util.TestLayerUtility_java","23"
"pdfbox.src.main.java.org.apache.pdfbox.pdfparser.PDFXrefStreamParser_java","23"
"pdfbox.src.test.java.org.apache.pdfbox.pdmodel.graphics.image.CCITTFactoryTest_java","23"
"pdfbox.src.main.java.org.apache.pdfbox.pdmodel.interactive.form.PDComboBox_java","23"
"pdfbox.src.main.java.org.apache.pdfbox.filter.CCITTFaxFilter_java","23"
"pdfbox.src.main.java.org.apache.pdfbox.pdmodel.graphics.image.LosslessFactory_java","23"
"fontbox.src.main.java.org.apache.fontbox.ttf.CmapSubtable_java","23"
"src.main.java.org.apache.pdfbox.util.PDFStreamEngine_java","23"
"tools.src.main.java.org.apache.pdfbox.tools.TextToPDF_java","23"
"doap_PDFBox_rdf","22"
"preflight.src.main.java.org.apache.pdfbox.preflight.metadata.SynchronizedMetaDataValidation_java","22"
"pdfbox.src.test.java.org.apache.pdfbox.encryption.TestSymmetricKeyEncryption_java","22"
"pdfbox.src.test.java.org.apache.pdfbox.pdmodel.interactive.form.TestFields_java","22"
"pdfbox.src.main.java.org.apache.pdfbox.filter.JBIG2Filter_java","22"
"examples.src.main.java.org.apache.pdfbox.examples.pdmodel.RubberStampWithImage_java","22"
"pdfbox.src.test.java.org.apache.pdfbox.pdmodel.graphics.image.JPEGFactoryTest_java","22"
"pdfbox.src.main.java.org.apache.pdfbox.pdmodel.font.PDCIDFontType2Embedder_java","22"
"pdfbox.src.main.java.org.apache.pdfbox.filter.LZWFilter_java","22"
"preflight.src.main.java.org.apache.pdfbox.preflight.font.Type3FontValidator_java","22"
"preflight.src.main.java.org.apache.pdfbox.preflight.font.descriptor.FontDescriptorHelper_java","22"
"src.main.java.org.apache.pdfbox.pdfviewer.PageDrawer_java","22"
"pdfbox.src.main.java.org.apache.pdfbox.pdmodel.interactive.digitalsignature.visible.PDFTemplateStructure_java","21"
"pdfbox.src.main.java.org.apache.pdfbox.pdmodel.graphics.form.PDFormXObject_java","21"
"pdfbox.src.test.java.org.apache.pdfbox.pdmodel.graphics.image.ValidateXImage_java","21"
"preflight.src.main.java.org.apache.pdfbox.preflight.ValidationResult_java","21"
