"FileName","ChangeChurn"
"pdfbox.src.main.java.org.apache.pdfbox.pdmodel.graphics.shading.AxialShadingContext_java","2091"
"pdfbox.src.main.java.org.apache.pdfbox.cos.COSStream_java","2063"
"preflight.src.main.java.org.apache.pdfbox.preflight.font.util.Type1Parser_java","2057"
"src.main.java.org.apache.pdfbox.util.PDFTextStripper_java","2044"
"pdfbox.src.main.resources.org.apache.pdfbox.resources.cmap.HKdlb-B5-H","2032"
"pdfbox.build_xml","2014"
"preflight.pom_xml","2013"
"xmpbox.src.main.java.org.apache.xmpbox.type.TypeMapping_java","1981"
"fontbox.src.main.java.org.apache.fontbox.ttf.TTFSubsetter_java","1967"
"pdfbox.src.test.resources.input.ImageIOUtil.JPXTestRGB_pdf","1964"
"xmpbox.src.main.java.org.apache.padaf.xmpbox.schema.XMPBasicSchema_java","1959"
"pdfbox.src.main.java.org.apache.pdfbox.pdmodel.font.PDType1CFont_java","1938"
"preflight.src.main.java.org.apache.padaf.preflight.font.CompositeFontValidator_java","1904"
"xmpbox.src.main.java.org.apache.padaf.xmpbox.schema.PhotoshopSchema_java","1894"
"fontbox.src.org.fontbox.afm.FontMetric_java","1876"
"pdfbox.src.main.java.org.apache.pdfbox.pdmodel.PDPage_java","1868"
"examples.src.main.java.org.apache.pdfbox.examples.signature.CreateVisibleSignature_java","1836"
"pdfbox.src.test.resources.org.apache.pdfbox.pdmodel.interactive.form.AcroFormsBasicFields_pdf","1833"
"preflight.src.main.java.org.apache.pdfbox.preflight.content.ContentStreamEngine_java","1829"
"pdfbox.src.main.java.org.apache.pdfbox.pdmodel.encryption.SecurityHandler_java","1822"
"pdfbox.src.main.java.org.apache.pdfbox.util.DateConverter_java","1800"
"pdfbox.src.main.java.org.apache.pdfbox.pdmodel.graphics.xobject.PDCcitt_java","1783"
"fontbox.src.main.java.org.apache.fontbox.ttf.GlyfCompositeDescript_java","1759"
"pdfbox.src.main.java.org.apache.pdfbox.contentstream.PDAbstractContentStream_java","1743"
"pdfbox.src.main.resources.org.apache.pdfbox.resources.cmap.NWP-H","1714"
"fontbox.src.main.java.org.apache.fontbox.afm.AFMParser_java","1708"
"pdfbox.src.main.java.org.apache.pdfbox.pdmodel.PDPageTree_java","1698"
"pdfbox.src.main.java.org.apache.pdfbox.pdmodel.interactive.form.PDAcroForm_java","1675"
"parent.pom_xml","1671"
"preflight.src.test.java.org.apache.pdfbox.preflight.metadata.TestSynchronizedMetadataValidation_java","1664"
"fontbox.src.main.java.org.apache.fontbox.cff.CharStringRenderer_java","1646"
"xmpbox.src.test.java.org.apache.padaf.xmpbox.schema.XMPSchemaTest_java","1639"
"pdfbox.src.main.resources.org.apache.pdfbox.resources.cmap.78ms-RKSJ-H","1636"
"src.main.java.org.apache.pdfbox.pdfparser.PDFParser_java","1615"
"jempbox.src.org.jempbox.xmp.XMPMetadata_java","1606"
"build_xml","1596"
"pdfbox.src.main.java.org.apache.pdfbox.pdmodel.font.PDType0Font_java","1589"
"xmpbox.src.test.java.org.apache.padaf.xmpbox.schema.AbstractXMPSchemaTest_java","1586"
"pdfbox.src.main.resources.org.apache.pdfbox.resources.cmap.HKm471-B5-H","1578"
"fontbox.src.main.java.org.apache.fontbox.type1.Type1Parser_java","1576"
"jempbox.src.main.java.org.apache.jempbox.xmp.XMPMetadata_java","1564"
"src.main.java.org.apache.pdfbox.cos.COSDictionary_java","1553"
"xmpbox.src.main.java.org.apache.xmpbox.schema.XMPMediaManagementSchema_java","1550"
"pdfbox.src.main.java.org.apache.pdfbox.pdfviewer.font.TTFGlyph2D_java","1545"
"src.org.pdfbox.cos.COSDictionary_java","1541"
"examples.src.main.java.org.apache.pdfbox.examples.signature.CreateSignature_java","1534"
"pdfbox.src.main.java.org.apache.pdfbox.pdfparser.XrefTrailerResolver_java","1516"
"xmpbox.src.main.java.org.apache.xmpbox.schema.DublinCoreSchema_java","1515"
"pdfbox.src.main.resources.org.apache.pdfbox.resources.cmap.Ext-H","1514"
"xmpbox.src.main.java.org.apache.padaf.xmpbox.parser.XMLUtil_java","1502"
"preflight.src.main.java.org.apache.pdfbox.preflight.process.CatalogValidationProcess_java","1501"
"pdfbox.src.main.java.org.apache.pdfbox.filter.TIFFFaxDecoder_java","1497"
"preflight.src.main.java.org.apache.pdfbox.preflight.font.CompositeFontValidator_java","1484"
"pdfbox.src.main.java.org.apache.pdfbox.pdfparser.ConformingPDFParser_java","1468"
"pdfbox.src.main.resources.org.apache.pdfbox.resources.cmap.78-RKSJ-H","1456"
"pdfbox.src.main.resources.org.apache.pdfbox.resources.cmap.Add-H","1454"
"pdfbox.src.main.resources.org.apache.pdfbox.resources.cmap.78-EUC-H","1452"
"pdfbox.src.main.java.org.apache.pdfbox.pdmodel.graphics.xobject.PDJpeg_java","1445"
"pdfbox.src.main.java.org.apache.pdfbox.pdmodel.documentinterchange.taggedpdf.PDStandardAttributeObject_java","1444"
"pdfbox.src.main.java.org.apache.pdfbox.pdmodel.font.PDCIDFont_java","1441"
"preflight.src.main.java.org.apache.padaf.preflight.helpers.CatalogValidationHelper_java","1438"
"pdfbox.src.main.java.org.apache.pdfbox.pdmodel.interactive.digitalsignature.PDSignature_java","1436"
"pdfbox.src.main.resources.org.apache.pdfbox.resources.cmap.78-H","1436"
"fontbox.src.org.fontbox.ttf.OS2WindowsMetricsTable_java","1414"
"pdfbox.src.main.java.org.apache.pdfbox.pdmodel.graphics.shading.GouraudShadingContext_java","1409"
"pdfbox.src.main.java.org.apache.pdfbox.cos.COSDocument_java","1406"
