"FileName","TargetIssueFreq","TargetCommitFreq","TargetChurn","ChangeFreq","ChangeChurn","Clique","Crossing","isCenter","ModularityViolation","PackageCycle","UnhealthyInheritance","UnstableInterface","isUnstableInterface"
"pdfbox.src.main.java.org.apache.pdfbox.rendering.SoftMask_java","0","0","0","8","266","0","0","false","0","0","0","0","false"
"pdfbox.src.main.java.org.apache.pdfbox.pdmodel.graphics.pattern.PDTilingPattern_java","4","4","28","20","367","1","5","true","3","2","3","10","true"
"examples.src.main.java.org.apache.pdfbox.examples.signature.cert.CertificateVerifier_java","0","0","0","0","0","1","0","false","0","1","0","0","false"
"pdfbox.src.main.java.org.apache.pdfbox.pdmodel.interactive.digitalsignature.COSFilterInputStream_java","0","0","0","2","14","0","0","false","0","1","0","0","false"
"tools.src.main.java.org.apache.pdfbox.tools.ExtractImages_java","3","5","131","40","897","0","9","false","11","0","3","11","false"
"pdfbox.src.main.java.org.apache.pdfbox.pdmodel.encryption.PDCryptFilterDictionary_java","0","0","0","6","132","0","0","false","1","0","0","1","false"
"fontbox.src.main.java.org.apache.fontbox.util.autodetect.FontFileFinder_java","1","1","15","12","449","0","0","false","5","0","1","1","false"
"pdfbox.src.main.java.org.apache.pdfbox.pdmodel.font.PDFontFactory_java","0","0","0","16","325","1","9","false","2","2","1","7","false"
"pdfbox.src.main.java.org.apache.pdfbox.pdmodel.font.FontFormat_java","0","0","0","1","41","0","0","false","0","0","0","0","false"
"pdfbox.src.main.java.org.apache.pdfbox.pdmodel.graphics.shading.PDShadingType6_java","0","0","0","9","196","1","1","false","2","0","2","1","false"
"pdfbox.src.test.java.org.apache.pdfbox.pdmodel.common.TestPDNameTreeNode_java","0","0","0","5","196","0","1","false","1","0","1","0","false"
"examples.src.main.java.org.apache.pdfbox.examples.interactive.form.PrintFields_java","0","0","0","3","6","0","0","false","1","0","1","0","false"
"pdfbox.src.main.java.org.apache.pdfbox.filter.FilterFactory_java","0","0","0","6","121","1","2","false","1","1","1","4","false"
"examples.src.main.java.org.apache.pdfbox.examples.util.ExtractTextByArea_java","0","0","0","12","175","0","1","false","4","0","1","1","false"
"fontbox.src.main.java.org.apache.fontbox.cmap.CMapParser_java","4","4","14","36","4350","0","0","false","4","0","0","4","false"
"pdfbox.src.test.java.org.apache.pdfbox.pdmodel.interactive.pagenavigation.PDTransitionTest_java","0","0","0","3","137","0","0","false","0","0","1","0","false"
"pdfbox.src.main.java.org.apache.pdfbox.pdmodel.graphics.image.SampledImageReader_java","3","3","26","31","967","1","2","false","8","0","0","8","false"
"pdfbox.src.main.java.org.apache.pdfbox.pdmodel.graphics.shading.Type7ShadingContext_java","0","0","0","15","180","1","0","false","2","0","0","1","false"
"examples.src.main.java.org.apache.pdfbox.examples.lucene.IndexPDFFiles_java","0","0","0","9","310","0","0","false","0","0","0","0","false"
"pdfbox.src.main.java.org.apache.pdfbox.contentstream.operator.text.SetCharSpacing_java","0","0","0","3","35","0","0","false","1","1","0","0","false"
"examples.src.main.java.org.apache.pdfbox.examples.signature.SigUtils_java","0","0","0","3","145","0","0","false","0","1","1","0","false"
"xmpbox.src.test.java.org.apache.xmpbox.TestValidatePermitedMetadata_java","0","0","0","7","165","0","2","false","2","0","0","2","false"
"pdfbox.src.main.java.org.apache.pdfbox.pdfparser.PDFXRef_java","0","0","0","2","37","0","0","false","0","1","0","0","false"
"pdfbox.src.main.java.org.apache.pdfbox.contentstream.operator.graphics.FillNonZeroRule_java","0","0","0","1","4","1","0","false","0","1","1","0","false"
"xmpbox.src.main.java.org.apache.xmpbox.schema.PDFAIdentificationSchema_java","1","1","2","6","536","1","7","true","2","2","4","15","false"
"fontbox.src.main.java.org.apache.fontbox.cff.CFFStandardString_java","0","0","0","3","438","0","0","false","2","0","0","2","false"
"preflight.src.main.java.org.apache.pdfbox.preflight.font.util.PreflightType3Stream_java","0","0","0","15","116","1","2","false","6","1","1","6","false"
"fontbox.src.main.java.org.apache.fontbox.ttf.GlyphSubstitutionTable_java","0","0","0","0","0","1","0","false","0","0","1","0","false"
"tools.src.main.java.org.apache.pdfbox.tools.PDFText2HTML_java","1","1","25","14","103","0","0","false","3","0","1","0","false"
"preflight.src.main.java.org.apache.pdfbox.preflight.process.reflect.ResourcesValidationProcess_java","0","0","0","21","769","1","7","false","5","1","1","22","false"
"pdfbox.src.main.java.org.apache.pdfbox.contentstream.operator.color.SetColor_java","2","3","29","6","51","0","0","false","2","0","2","3","false"
"pdfbox.src.main.java.org.apache.pdfbox.pdmodel.fdf.FDFJavaScript_java","0","0","0","7","178","1","3","false","8","0","1","12","false"
"pdfbox.src.main.java.org.apache.pdfbox.contentstream.operator.color.SetStrokingDeviceCMYKColor_java","0","0","0","4","12","0","0","false","1","1","3","2","false"
"pdfbox.src.main.java.org.apache.pdfbox.pdmodel.interactive.form.PDSignatureField_java","0","0","0","28","911","1","6","true","6","2","2","8","false"
"pdfbox.src.main.java.org.apache.pdfbox.contentstream.operator.graphics.BeginInlineImage_java","1","2","6","4","12","1","1","false","5","1","1","1","false"
"pdfbox.src.main.java.org.apache.pdfbox.filter.TIFFExtension_java","1","1","106","1","106","0","0","false","0","0","0","0","false"
"preflight.src.main.java.org.apache.pdfbox.preflight.PreflightDocument_java","0","0","0","12","472","1","6","true","1","5","1","12","false"
"xmpbox.src.main.java.org.apache.xmpbox.xml.PdfaExtensionHelper_java","0","0","0","9","761","0","8","false","2","0","4","15","false"
"fontbox.src.test.java.org.apache.fontbox.ttf.TestTTFParser_java","0","0","0","3","68","0","0","false","0","0","0","0","false"
"pdfbox.src.test.java.org.apache.pdfbox.pdmodel.graphics.image.PDInlineImageTest_java","0","0","0","16","325","0","2","false","4","0","0","1","false"
"pdfbox.src.main.java.org.apache.pdfbox.contentstream.operator.state.Restore_java","0","0","0","3","17","0","1","false","1","1","0","2","false"
"pdfbox.src.main.java.org.apache.pdfbox.pdmodel.graphics.PDLineDashPattern_java","0","0","0","7","192","0","0","false","1","0","0","0","false"
"pdfbox.src.main.java.org.apache.pdfbox.pdmodel.interactive.annotation.PDAppearanceCharacteristicsDictionary_java","1","2","4","15","217","1","4","false","8","1","0","15","false"
"pdfbox.src.main.java.org.apache.pdfbox.pdmodel.graphics.shading.ShadedTriangle_java","0","0","0","6","168","0","1","false","1","0","0","1","false"
"xmpbox.src.main.java.org.apache.xmpbox.type.JobType_java","0","0","0","2","48","1","5","true","3","2","2","15","false"
"fontbox.src.main.java.org.apache.fontbox.cff.CFFExpertCharset_java","0","0","0","7","569","0","0","false","2","0","0","0","false"
"pdfbox.src.main.java.org.apache.pdfbox.pdmodel.PDDocumentNameDictionary_java","0","0","0","5","42","1","1","false","1","1","1","0","false"
